No,name,rating
1,佐藤天彦名人,1884
2,豊島将之八段,1878
3,羽生善治三冠,1857
4,久保利明王将,1849
5,菅井竜也七段,1848
6,稲葉陽八段,1837
7,永瀬拓矢六段,1825
8,渡辺明竜王,1821
9,糸谷哲郎八段,1809
10,斎藤慎太郎七段,1801
11,広瀬章人八段,1794
12,千田翔太六段,1790
13,佐々木勇気六段,1778
14,三浦弘行九段,1775
15,阿久津主税八段,1770
16,山崎隆之八段,1768
17,中村太地六段,1768
18,松尾歩八段,1756
19,澤田真吾六段,1752
20,木村一基九段,1739
21,郷田真隆九段,1735
22,佐藤康光九段,1731
23,深浦康市九段,1726
24,青嶋未来五段,1722
25,橋本崇載八段,1720
26,村山慈明七段,1716
27,丸山忠久九段,1715
28,三枚堂達也四段,1710
29,屋敷伸之九段,1707
30,行方尚史八段,1707
31,増田康宏四段,1707
32,藤井猛九段,1706
33,近藤誠也五段,1701
34,佐藤和俊六段,1700
35,藤井聡太四段,1700
36,船江恒平六段,1693
37,森内俊之九段,1689
38,横山泰明六段,1675
39,千葉幸生六段,1668
40,鈴木大介九段,1661
41,髙見泰地五段,1658
42,阿部光瑠六段,1652
43,八代弥六段,1651
44,渡辺大夢五段,1651
45,大石直嗣六段,1648
46,阿部健治郎七段,1645
47,宮田敦史六段,1641
48,戸辺誠七段,1640
49,黒沢怜生五段,1639
50,北浜健介八段,1635
51,石井健太郎四段,1621
52,谷川浩司九段,1616
53,西尾明六段,1614
54,佐々木大地四段,1612
55,阿部隆八段,1610
56,小林裕士七段,1606
57,畠山鎮七段,1604
58,宮本広志五段,1604
59,都成竜馬四段,1603
60,佐々木慎六段,1595
61,飯島栄治七段,1593
62,野月浩貴八段,1592
63,大橋貴洸四段,1592
64,髙﨑一生六段,1589
65,及川拓馬六段,1588
66,飯塚祐紀七段,1586
67,梶浦宏孝四段,1585
68,村田顕弘五段,1579
69,石田直裕四段,1578
70,牧野光則五段,1577
71,今泉健司四段,1576
72,中村修九段,1574
73,片上大輔六段,1573
74,塚田泰明九段,1572
75,伊藤真吾五段,1572
76,杉本昌隆七段,1567
77,遠山雄亮五段,1564
78,瀬川晶司五段,1560
79,中田宏樹八段,1559
80,窪田義行七段,1554
81,西川和宏六段,1554
82,森下卓九段,1548
83,先崎学九段,1541
84,村中秀史六段,1538
85,藤森哲也五段,1536
86,竹内雄悟四段,1536
87,西田拓也四段,1534
88,伊奈祐介六段,1533
89,高野智史四段,1531
90,真田圭一八段,1528
91,金井恒太六段,1524
92,佐藤紳哉七段,1523
93,井出隼平四段,1523
94,中座真七段,1522
95,田村康介七段,1519
96,畠山成幸八段,1518
97,佐藤秀司七段,1518
98,門倉啓太五段,1514
99,高橋道雄九段,1513
100,矢倉規広七段,1500
101,星野良生四段,1499
102,北島忠雄七段,1497
103,井上慶太九段,1495
104,勝又清和六段,1495
105,村田智弘六段,1494
106,日浦市郎八段,1493
107,渡辺正和五段,1491
108,杉本和陽四段,1486
109,阪口悟五段,1485
110,中村亮介六段,1482
111,川上猛六段,1481
112,安用寺孝功六段,1481
113,中川大輔八段,1480
114,平藤眞吾七段,1477
115,増田裕司六段,1475
116,佐藤慎一五段,1474
117,長岡裕也五段,1469
118,中田功七段,1467
119,山本真也六段,1467
120,藤倉勇樹五段,1461
121,上村亘四段,1461
122,藤原直哉七段,1459
123,田中悠一五段,1458
124,髙野秀行六段,1454
125,豊川孝弘七段,1448
126,堀口一史座七段,1445
127,島本亮五段,1442
128,大平武洋六段,1441
129,近藤正和六段,1437
130,青野照市九段,1427
131,岡崎洋六段,1427
132,富岡英作八段,1424
133,石川陽生七段,1423
134,小倉久史七段,1422
135,島朗九段,1419
136,桐山清澄九段,1417
137,有森浩三七段,1413
138,中尾敏之五段,1395
139,金沢孝史五段,1390
140,南芳一九段,1385
141,田中寅彦九段,1385
142,小林健二九段,1385
143,神崎健二八段,1383
144,小林宏七段,1383
145,福崎文吾九段,1379
146,脇謙二八段,1379
147,高田尚平七段,1379
148,上野裕和五段,1376
149,松本佳介六段,1375
150,長沼洋七段,1364
151,神谷広志八段,1363
152,泉正樹八段,1357
153,所司和晴七段,1333
154,浦野真彦八段,1327
155,伊藤博文七段,1325
156,土佐浩司八段,1317
157,西川慶二七段,1278
158,東和男八段,1264
159,室岡克彦七段,1264
160,木下浩一七段,1264
